Joissakin järjestelmissä ( 	nordea 	) kerran käytettyä tunnusta ei voi käyttää toista kertaa , jolloin kertaalleen käytetyn tunnuksen saaminen selville ei mahdollista mitään rikosta . 
mutta voiko esim netin nopeus jotenki vaikuttaa kun se sanoo näin ' Yhteyden aikakatkaisu Palvelin osoitteessa 	solo1.nordea 	, 
contunue again He jäivät pois 	Nordean 	pysäkillä . 
	Nordea 	oli kerran kääpiöiden mahtavin pankki , mutta ilkeät möröt valloittivat sen pari vuotta sitten . 
Kimble oli ainoa saattueen jäsen , joka oli innoissaan , kun Nasse-setä kertoi , että he oikaisisivat 	Nordean 	läpi . 
He kävelivät 	Nordean 	ovelle . 
Ovessa oli kyltti , jossa luki : Tervetuloa 	Nordean 	pankkiin . 
Samaan aikaan järvestä , joka oli oven edessä , nousi vesihiisi , joka vartioi 	Nordean 	ovea . 
Kaikki juoksivat nopeasti 	Nordean 	ovien sisäpuolelle . 
Heidän kulkunsa nopeutui huomattavasti ja pian he olivat puolivälissä reittiään 	Nordean 	toiselle ovelle . 
Nasse-setä istui kauempana muista tutkien 	Nordean 	karttaa . 
Matti ja Teppo katselivat Nasse-setää , niin ihailevasti , että eivät huomanneet Nasse-sedän taskusta pilkottavaa 	Nordean 	kartaa . 
Tässä makaa ja haisee Paavo Pankkitili , 	Nordean 	pankinjohtaja , Nasse-setäluki laatikon päällä lukevan tekstin . 
Nasse-setä huusi kaksosille , Nyt me saaraan kaikki 	Nordean 	möröt peräämme . 
Sitten he juoksivat itkien pois sillalta ja saapuivat 	Nordean 	toiselle ulko-ovelle . 
James vastasi surullisesti : Hän putosi Pankkilainan kuiluun 	Nordeassa 	, 
no sitten käännyin lakimiehen jutuille joka meni ja veivas netistä ja 	nordeasta 	lainaa sen minkä tiedoillani sai . 
Ite 20v ja 	nordeasta 	hakenu .. 
Niin ja jo yksin 	Nordealta 	sanotaa 950 irti , ja esim kymestä summan , sunilan , voikkaan tehtaat lopetettiin : eli kaikki nämä ympäri Suomen olevat ihmiset vaan noihin mainitsemiisi paikkoihin ? 
Ei mee ihan tasan eikä 500-1000 paikkaa riitä edes 	Nordean 	irtisanotuille . 
Meneekö tänä vuonna kaikki 	Nordeasta 	sinne ja ne ketkä silloin jäi 2006 pulaan , niin olkoon , eihän ne tämän vuoden tilastoja ole . 
Sitä siis tarkoitin , 	Nordea 	, Voikkaa ja muut : yhteensä niitä ei paikata parilla sadalla työpaikalla , tänä vuonna ja muutama vuosi aikaisemmin : niitä ei ole korjattu eikä paikattu ja jos tänä vuonna tilanne ois tommonen Ikealle Kuopioon 100 työtekijää , niin ikävä kyllä , se ei ole yhtään mitään vielä . 
Ei halua 	Nordeakaan 	joka lopettaa mm. Vaajakoskella asiakaspalvelun kokonaan . 
Kyllä mulle ainakin oli tullut 	Nordeaan 	, 
Kirjoittaja on poistanut tämän viestin Eikös pop pankki aloita toimintansa sen jälkeen kun 	nordean 	konttori sulkeutuu lokakuun viimeinen päivä ? 
Taidan minäkin mennä siilinjärveläiseen kunhan 	nordea 	lakkautuu ! 
Tuosta pankkivaihdosta sen verran , että onhan täällä myös S-pankki ja jos on ollut 	Nordean 	asiakas niin eihän sitä tarvitse tilejä irtisanoa sen takia . 
	Nordean 	asiakkaaksi jään , vaikka asiointi joensuuhun vaatisi sitä . 
Sääli , että 	nordea 	joutuu lopettamaan lieksassa toimintansa . 
	Nordean 	jälkeen vaihdoin Op-Pohjolaan ei ikinä tulisi mieleen vaihtaa Siilinjärven Op : n ja katsokaa hyvät ihmiset mitä tappioita tekee pop-pankkien tytäryhtiöt , mutta jokainen vaihtaa sinne mikä mielestään paras 
	Nordean 	asiakkaana pysyn edelleen ! 
Siinä 	Nordean 	pääjohtajan EU-tukiaispankissa en ole . 
Sopii toivoa ettei joku 	Nordean 	nörteistä sekoa . 
Ja systeeminhän pitää olla sellainen , jossa käytetään tunnusluvut järjestyksessä , kuten esim. 	Nordeassa 	, 
Toisin on suuressa ja mahtavassa 	Nordeassa 	, jossa tuhrataan käytettyjä lukuja kynällä tunnuslukukortista , josta siis näkee , mikä on seuraava . 
En tiedä miten S-pankin " satunnaisuus " tuossa tunnuslukukyselyssä on toteutettu mutta eikös saman efektin saisi 	Nordeallakin 	jos ne yliviivattavat luvut olisivat sekoitettuna ? 
Siinä missä S-pankki pyytää lukua " Anna tunnusluku kohdasta B 10 " niin 	Nordean 	vastaavassa tuo B 10 on vain korvattu luettelonumerolla ,. erona vain se että Nordean seuraava luku on puhdas satunnaisluku , kun ilmeisesti S-pankki käyttää samoja lukuja uudestaan mikä kuulostaa vaaralliselta ? 
Siinä missä S-pankki pyytää lukua " Anna tunnusluku kohdasta B 10 " niin Nordean vastaavassa tuo B 10 on vain korvattu luettelonumerolla ,. erona vain se että 	Nordean 	seuraava luku on puhdas satunnaisluku , kun ilmeisesti S-pankki käyttää samoja lukuja uudestaan mikä kuulostaa vaaralliselta ? 
Minulla on tili 	nordeassa 	enkä mitenkään saa mitään tehtyä jollen näpytä niitä vahvistustunnuslukuja . 
	Nordea 	varoittaa haittaohjelmista ja huijausviesteistä ! 
### 	Nordeassa 	luotottomien korttien hinnat nousevat 100% . 
Ikinä en OP-Pohjolan , 	Nordean 	, tai Sampo pankin asiakkaaksi rupea . 
Luettelen tässä vinkit , joita itse olemme käyttäneet : 	Nordea 	antaa 40e rahalahjan tilille kun lapselle avataan tili ennen 6kk ikää ja aloitetaan rahastosäästäminen . 
Siinä menee vielä vuosikymmen , 	Nordean 	Sorjonen kommentoi . 
Tämä vajaus johtuu 	Nordea-konsernin 	verosuunnittelusta . 
taisi semmoisen ison talon kuin 	nordea 	, se kun ei kirjoittele nimeään kylkiin , mutta lukee kyllä rekisteriotteessa , jos tiedät ? 
( JOONAS SALMELA ) UPM : n pääkonttorin edessä Helsingin Töölönlahdella seisoi torstaina iltapäivällä tuliterä Bentley Flying Spur W12 , joka kuuluu Iltalehden tietojen mukaan Sammon , 	Nordean 	ja UPM : n hallitusten puheenjohtajalle Björn Wahlroosille . 
Mulla on joku 	Nordea 	lasku ohjelma antroitissa oonko to rebuild jo i-sovellus vai 
Mulla on joku 	Nordea 	lasku ohjelma antroitissa oonko to rebuild jo i-sovellus vai 
P.S. Kirkollisverot voitte laittaa tästälähtien suoraan tilille 	Nordea 	: 126935-124679 
Rahat menevät 	nordean 	kautta ulkomaiselle tilille ... 
Vaadin minulle aiheutuneiden kustannuksien yhteensä 660 EUR maksamista tililleni 	Nordea 	202520-4006386 välittömästi ja perintänne lopettamista . 
Suomen valtio on köyhdytetty jo 13 % 	Nordean 	laskelmien mukaan ja jos vielä keskiluokkakin kuvittelee , että kaikki on hyvin . 
Pankkikonserni 	Nordea 	kertoo talousennusteessaan , että Suomi on köyhtynyt 2008 vuodesta lähtien taantuman aikana jo 13 prosenttia . 
	Nordean 	pääekonomisti Aki Kangasharju esittää , että kun Suomen vientimarkkinat eivät toimi , niin kasvua on etsittävä kilpailukykyä parantamalla . 
Olet näköjään 	Nordean 	sijoitusneuvojan tyypillinen uhri . 
	Nordea-pankki 	on irtisanonut Rotenbergin suvun hotelliyhtiön Långvik Capitalin tilin . 
Etsä tajua , USAsaa ja 	Nordeassa 	mietitään , että kun Nordea sulkee jonkun tilin niin Putin ja Venäjä kärsivät . 
Etsä tajua , USAsaa ja Nordeassa mietitään , että kun 	Nordea 	sulkee jonkun tilin niin Putin ja Venäjä kärsivät . 
	Nordea 	uhkaa sulkea Jokerin tilit . 
Hartwall Arenan tiliä 	Nordea 	ei voi sulkea kun Hartwall Arenalla ei ole tiliä Nordeassa . 
Hartwall Arenan tiliä Nordea ei voi sulkea kun Hartwall Arenalla ei ole tiliä 	Nordeassa 	, 
Sanoma Oy omistaa 	Nordeaa 	ja päinvastoin Siinä selitys 
menetti Nokian – 150 työntekijää uhkaa potkut 20.3 Nansolla taas yt : t käyntiin - vähennystarve julma : 466 henkilöä 25.3 Finnlines-tytär lopettaa Kotkassa – 36 irtisanotaan 25.3 TS : Turun Sanomat aloittaa yt-neuvottelut – 25 vähennetään 26.3 TS : Työterveyslaitos vähentämässä taas 50 työpaikkaa 27.3 Marimekko irtisanoo 22 työntekijää 27.3 Finnairilta raju pommi : “Vähennystarve 680 henkilöä” 31.3 8 Anttilaa kiinni , yt : t Kodin1 : ssä - vaakalaudalla 455 työpaikkaa 31.3 Stora Enso sulkee PK1-paperikoneen Kemissä – 88 saa lähteä 1.4 S-Pankki irtisanoo 38 työntekijää 2.4 Sonera aikoo vähentää väkeä asiakaspalvelusta - 80 työntekijää 2.4 	Nordea 	aikoo vähentää jopa 300 työpaikkaa Suomesta 3.4 Yle : Anvia vähentämässä 80 työpaikkaa 3.4 Pentik aloittaa yt-neuvottelut 9.4 Itella aloittaa taas yt-neuvottelut - Vajaa sata joutuu lähtemään 9.4 Paakkola Conveyors konkurssiin - 70 menettää työnsä 9.4 Nyt potkii Patria : 110 ulos 9.4 Abloy irtisanoo melkein puolet Kemiönsaaressa 14.4 Kaupunginhallitus vahvisti : Lahti aloittaa yt-neuvottelut välittömästi 15.4 Nyt tuli tulosvaroitus Almalta - yt-neuvottelut käyntiin 15.4 Jopa Hullut Päivät petti – Stockmann aloittaa jätti-yt : t - jopa 330 voidaan irtisanoa 15.4 Katalysaattorivalmistaja Ecocat aloittaa yt-neuvottelut - tuotantoa Kiinaan 16.4 Aalto-yliopisto voi irtisanoa jopa 130 henkilöä 17.4 Raisioagro aloittaa yt-neuvottelut 50 työpaikan vähennyksestä 17.4 Vaasan Oy aloittaa yt : t leipomotoiminnoissa – pahimmillaan 93 vähennetään 23.4 Sanoma Lehtimedia aloittaa yt-neuvottelut – 20 voidaan irtisanoa 24.4.14 Atria vähentää 59 henkilötyövuotta 24.4.14 Satoja ravintoloita Suomessa pyörittävä Restel aloittaa yt-neuvottelut 24.4.14 UPM vähentämässä yli sata Suomessa ja Espanjassa 24.4.14 Kurikassa jälleen yli 50 työpaikkaa uhattuna 25.4.14 Patria sulkee tehtaan Sastamalassa , 23 henkilön työsuhteet päättyvät 28.4.14 If aloittaa 230 henkilöä koskevat yt-neuvottelut 28.4.14 Lemminkäiseltä yt-pommi : jopa 500 voi saada potkut 28.4.14 Fazer suunnittelee kahden leipomon lopettamista - 146 : n työpaikka vaarassa 28.4.14 SOK ja HOK-Elanto vähentävät väkeä - 160 : n työpaikka vaarassa 29.4.14 Surkea alkuvuosi – ainakin 40 000 henkeä yt-rumbassa 30.4.14 Elektrobit aikoo lomauttaa liki sata 
Ennustuksista puheenollen 	Nordean 	pääekonomisti ennusti että Suomen talouslama kestää vielä kaksi vuotta . 
Eikä 	Nordean 	asiakkuuttakaan sen puoleen . 
Luettelen tässä vinkit , joita itse olemme käyttäneet : 	Nordea 	antaa 40e rahalahjan tilille kun lapselle avataan tili ennen 6kk ikää ja aloitetaan rahastosäästäminen . 
Asiakkaalla on pankkitili 	Nordeassa 	, eikä missään muussa pankissa . 
Tuo 	Nordea 	, 
Ainakin ennen esim. 	Nordean 	nettisivuilla oli laskuri , jossa pystyi vertailemaan , että kuinka paljon maksat vuokraa ja mitä se puolestaan maksaisi , jos lyhentäisit omaa asuntoasi . 
Huvitti eilen Gigantissa , kun viereisellä kassalla olevat lois-sommput yrittivät ostaa tuotteita verovapaasti ja maksaa ne 	Nordean 	taikaseinäkortilla . 
Suomen 	Nordean 	kortilla Puolan Nordean pankkiautomaatista saat nostaa paikallista valuuttaa ilmaan palkkioita ja provisioita . 
Suomen Nordean kortilla Puolan 	Nordean 	pankkiautomaatista saat nostaa paikallista valuuttaa ilmaan palkkioita ja provisioita . 
jos nostat Gdanskissa 	Nordea 	automaatista rahaa debit puolelta ( se siis onnistuu ) niin Nordea ottaa vain 0,60€ per nosto . 
jos nostat Gdanskissa Nordea automaatista rahaa debit puolelta ( se siis onnistuu ) niin 	Nordea 	ottaa vain 0,60€ per nosto . 
Jos nostaa luoton puolelta niin 	Nordean 	korvaus siitä on 2€ per nosto + 2% nostosummasta 
Onko tietoa , onnistuuko 	Nordean 	Visa Debit - kortilla DEBIT-nosto Varsovassa ? 
Myös 	Nordean 	sivuilla sanotaan että vain rahaliittoon kuuluvilla mailla menee tuo 0,90€/nosto , muttei puhuta mitään esim. rahaliiton ulkopuolisista maista . 
Palasin sieltä juuri , ja tiedoksi että debit-nosto 	Nordean 	kortilla onnistui kaikissa testatuissa paikoissa . 
Vaihdoin 	NORDEASSA 	viime viikolla , kurssi oli 4.26 josta minä sain 4.0925. Eikä muita kuluja . 
Sadalla eurolla saa tänään : 	Nordean 	konttorista ( vaihtokurssin mukaan 3,934500 ) 393,50 zlotya miinus toimitusmaksu 8 euroa ( 32 zlotya ) = 361,50 zl . 
Eurokangas 642 2097 Tartu mnt 43 Stokkalta eteenpäin ( Prisma kyltti kaukaisuudesssa Sikupillissä ) vasemmalla ( alhaalla VAIBAKESKUS= kokolattiamattoja - käytävä ja kynnysmattoja , leikataan sopiviksi paloiksi , päärmäys odotellessa 10 EEK/m , mattojen suurempi liike suolamakasiinista Ahtri kadulla tennishalli kohti Centtua ) ennen sitä parikin tartu mt ABLOY lukko- , ovenkahva , helakauppaa Elvikan as 661 0344 Madara 14 , bussit 3,40 , 48 /32,33 ) ET Kankaita verhojen ja naistenvaatteiden ompelupalvelu puh 658 7890 Kadakatee 44 ( ma-pe klo 10-19 la 10-17 ) Ex Solveig Narva mt 130 +372 50 57358 ester@online.ee Goldarium Pärnasalu 11 , Saue VIIMSISSÄ bussi 114,115 ( Piritan ohi ) puh 6709547 KANGAS ja NÖÖP 611 5585 Tartu maant 58 , 63 ratikat 2 , 4 lähellä AutoBussijaama 661 6424 Kakkosmyymälä Hobujaama 10 ( kohti satamaa POSTIN ( takana uusi Finnkinon Coca Cola Center ) ja 	Nordea 	talon välistä , bussien lomasta oikealla . 
mulle ainakin 3 vuoden sitomisesta maksetaan 3.5% Että kiikuta vain se shekki takas 	nordea 	pankkiin . 
Suomi ei enää pääse Natoon , ei vaikka haluaisikin 6. Hän muuttaa Ruotsiin , koska se on tuttu , lähellä , ja hän on ruotsalaispankki 	Nordean 	korkein johtaja 7. Ruotsilla on kylmän sodan ajoista lähtien ollut Naton " salaiset " turvatakuut ; sitaatit siksi , että Putin ne kyllä tietää - ja tietää senkin , ettei häntä päästetä Atlannin rantaan ilman sotaa USA : n kanssa 
	Nordea 	tosiaan yritti kolme kertaa ja laina olikin mennyt tänään =) 
Mitä Sampoon tulee , niin MINUN tapauksessa se pääsi 100 euron päähän 	Nordean 	tarjouksesta . 
saamani tarjoukset Saamani tarjoukset 24.7.2006 : 	Nordea 	: prime 3 , 0% marginaali 0,35% ei kuluja Handels : prime 3,15% marginaali 0,33% palvelumaksu 50 € OKO : prime 3 , 0% marginaali 0,35% ( tai 0,25% , mutta kuulema palvelumaksuineen vastaa 0,35 : ttä ) Olen kysellyt n. 10 pankista . 
Ja niin on 	Nordeakin 	- sehän on valtaosailtaan ruotsin valtion omistama yritys . 
Tämä siis 	nordeassa 	keskustassa . 
Minulta kysyttiin Nakkilan 	Nordeassa 	henkilöpapereita kun laitoin tililleni 300e , ei siis meinattu ottaa rahaa vastaan muuta kuin henkilöytensä todistaen . 
Saman asian ovat huomanneet toimittajatkin : http://www.taloussanomat.fi/palvelut/2012/01/10/erikoinen-tilanne-pankki-ei-halua-seteleitasi/201220649/12 Viimeisin villitys on tiettyjen pankkien , kuten Sampo Pankin ja 	Nordean 	, käytäntö rajoittaa asiakkaan oikeutta tallettaa käteistä rahaa . 
No 	Nordeasta 	onneksi sitten sain kun palkka menee sinne . 
Katsomo oli aivan täynnä , 	Nordea 	oli varannut koko esityksen . 
lainan päälle esm asunto 60+ei säästöjä , omavakuus esm2000+vero 1500 ei ehkä ensias ostajalla , lainanhoitomaksut 200+kaupanvahvistus jos puokkiin asunnon lisäksi ainakin 20 tuhatta , muutto+vuokrat ym yllättävää 	nordeaa 	suosittelen ja osuuspankkia lainan voi laskettaa samalle summalle kun maksaa vuokraa esm 500kk +vastike ja vesimaksu 200+vakuutukset 50-70+sähkö eli 780 nousi miun kk menot lainalla vuokraan verrattuna lasketa pankissa niin tiedät 
Itse sain 	Nordea 	pankista lainaa 80 000e , loput maksoin ite ( parituhatta ) palkka oli n. 1400e/kk . 
SYP ja Postipankki pankeista ovat nykyisin 	Nordea 	ja Sampo . 
Tuo vaan ei ole sellaista järki-ihmisten raha-asioiden hoitoa , ryöstelyksi on mennyt DB ; n touhu , ja niin on 	Nordeankin 	, 
Vuokratakuutilinkin voin avata 	Nordeaan 	täksi ajaksi . 
Aivan sama oli 	Nordea/Merita 	pelleily , jota ei voi tänä päivänäkään käsittää ! 
Itella , 	Nordea 	, Merita , Elisa , Destia , Evira , Fimea , Carea , Hyria , Coxa . 
@suomi24 Treffien etusivulle ilmestyi : " Teemme parannuksia maksujärjestelmäämme , minkä johdosta maksuliikenteessä on ilmennyt häiriöitä tänään ( 8.7. ) iltapäivällä , ja tällä hetkellä 	Nordean 	ja SP/PoP/Aktian kautta tehdyt maksut eivät onnistu . 
@suomi24 nyt Treffien etusivulle ilmestynyt seuraavanlainen teksti : " Ostaminen 	Nordean 	kautta tilapäisesti poissa käytöstä Tällä hetkellä Nordean kautta ei voi valitettavasti maksaa . 
@suomi24 nyt Treffien etusivulle ilmestynyt seuraavanlainen teksti : " Ostaminen Nordean kautta tilapäisesti poissa käytöstä Tällä hetkellä 	Nordean 	kautta ei voi valitettavasti maksaa . 
Entinen 	Nordea 	pankin asiakas tässä opastaa ! 
Ainakin 	nordeassa 	, stokmannin yläkerrassa avasin tilin . 
	nordeassa 	avasin suomen kielellä pärnun nordeassa eestitilin , joka näkyy suomen solo-palvelussa , kaikki pelaa . 
nordeassa avasin suomen kielellä pärnun 	nordeassa 	eestitilin , joka näkyy suomen solo-palvelussa , kaikki pelaa . 
Vai saako tuommoisen vähennyksen jo sillä , jos omistaa esim. ruotsalaisen 	Nordean 	tai Soneran osakkeita ? 
Katselin tuossa 	Nordean 	, Op , säästöpankin ja Danskebankin nettisivut eikä siellä ole enää ns pankkikorttia eli korttia jossa on vain maksu heti eli debit kuten nykyään sanotaan . 
	Nordealla 	tämä : http://www.nordea.fi/Henkil%C3%B6asiakkaat/P%C3%A4ivitt%C3%A4iset+raha-asiat/Kortit/Visa+Debit/997122.html ? 
Sain joitakin vuosia sitten erään yrityksen osakkeita lahjaksi ja säilytän niitä 	Nordeassa 	, 
Ymmärsin kysymyksestäsi , että Sinulla on arvo-osuustili sekä 	Nordeassa 	että Nordnetissä . 
Maksu hoidettiin 	Nordean 	kautta rahoitussopimuksella . 
HS 21.2.2014 : " Uutiset Talous 	Nordea 	heikentää Gold-korttien matkavakuutuksen ehtoja 21.2.2014 11:03 5 Anni Lassila Helsingin Sanomat Nordea heikentää Visa Gold- ja Mastercard Gold - kortteihin kuuluvan matkavakuutuksen ehtoja . 
HS 21.2.2014 : " Uutiset Talous Nordea heikentää Gold-korttien matkavakuutuksen ehtoja 21.2.2014 11:03 5 Anni Lassila Helsingin Sanomat 	Nordea 	heikentää Visa Gold- ja Mastercard Gold - kortteihin kuuluvan matkavakuutuksen ehtoja . 
Ei kait täällä suomessa mitään enää kannata omistaa , myy kaiken 	nordealle 	, saa Nalle sitten sijoitella ja herrojaan hauskuuttaa . 
Suomessa minulle sattunutta : Kaksi kertaa yritetty puukottaa , kerran lyöty silitysraudalla , tusinan kertaa joutunut tappeluun itsepuolustukseksi , viitisen kertaa nainen on lyönyt minua , kolme kertaa liikenneonnettomuus joista yksi vakava , verottaja on kohdistanut aiheettomia syytöksiään neljästi minua ja yrityksiäni kohtaan , tv-luvan tarkastajaa en päästänyt peremmälle vaan kehoitin suksimaan naisen sukupuolielimeen , poliisit tappoi isäni kuulema vahingossa , lompakkoni viety kahdesti yökerhoissa ja henkilöllisyyttäni käytettiin väärin rosvousmielessä josta sain syytteenkin ja josta vapauduin , asianajajani kavalsi minulta 130000 euroa , minulta huijattiin yksi yhtiö valheellisin perustein , minulta varastettiin mönkijä kotipihastani , mökkiini murtauduttiin ja vietiin irtaimistoa , siskoni huijasi minua perinnönjaossa 30000 euroa , vaimoni petti minua , 	Nordea 	varasti 200000 euroa yritykseltäni , vakuutusyhtiö jätti maksamatta 150000 euroa tekaistuin perustein selkeää sopimusta vastaan , olen saanut kolmasti tappouhkauksia , somali oli asunut veneessäni luvatta koko talven Ruoholahden satamassa . 
Tein sitten 	Nordea 	pankissa kuoletusilmoituksen .Mutta se oli myöhäistä luottokortin kohdalla , he kerkesivät ostaa Nesteen huoltoasemalta .150 e edestä . 
Itse perustin tilin 	Nordeaan 	Latviaan . 
JOHTUU SIITÄ ETTÄ 	NORDEAN 	KOTIPAIKKA ON TUKHOLMA ELI TOIMITAAN RUOTSIN LAIN MUKAAN 
Muita isoja pankkeja ovat SEB : n ohella Swedbank , 	Nordea 	ja Danske Bank . 
	Nordeassa 	tilin avaamisen ehtona on , että asuu Virossa , opiskelee Virossa tai omistaa Virossa kiinteistön ( asunnon ) . 
